trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.2981544758908576, 'e': 0.3354237853772145}",20,6,2.2270990929849717,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.2939799970173046, 'e': 0.33072749664446743}",30,21,-24.599453566159767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.28983498032801586, 'e': 0.3260643528690176}",20,6,-19.081526043760526,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
143,False,"{'a': 0.2857198335341927, 'e': 0.3214348127259665}",30,18,23.19452825524607,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.28163494968158814, 'e': 0.31683931839178636}",25,12,-12.876306114565065,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.2775807072026354, 'e': 0.3122782956029645}",20,14,-9.284254342331481,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.27355746997508806, 'e': 0.3077521537219738}",20,7,-13.073399948127761,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.2695655873870432, 'e': 0.30326128581042333}",25,13,12.666652464289008,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.2656053944082169, 'e': 0.29880606870924376}",35,17,-31.73979586046272,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
149,False,"{'a': 0.2616772116673393, 'e': 0.29438686312575646}",35,0,-1.3526983957566763,"{0: 31, 1: 0, 2: 3, 3: 1, 4: 0}",1
150,False,"{'a': 0.25778134553553383, 'e': 0.29000401372747525}",30,15,-41.32538147921565,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
151,False,"{'a': 0.25391808821554274, 'e': 0.2856578492424853}",25,14,13.614630975469279,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.25008771783665973, 'e': 0.2813486825662419}",20,7,-35.47750390210334,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.24629049855522792, 'e': 0.2770768108746311}",30,18,10.511959180028027,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.24252668066056, 'e': 0.2728425157431297}",20,0,16.63599250684568,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.23879650068613562, 'e': 0.26864606327190227}",20,10,-4.312903715602811,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.23510018152593004, 'e': 0.264487704216671}",20,13,15.678469620676452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.23143793255572573, 'e': 0.26036767412519113}",20,14,-11.358014162412811,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.22780994975925878, 'e': 0.2562861934791658}",20,8,-19.081738519487978,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.2242164158590497, 'e': 0.2522434678414306}",25,17,-19.90137123674955,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.2206575004517679, 'e': 0.2482396880082386}",25,19,13.882280270213617,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.21713336014797843, 'e': 0.24427503016647545}",20,3,28.54598242321404,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.21364413871611818, 'e': 0.24034965605563266}",25,20,9.997746146388323,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.21018996723054933, 'e': 0.23646371313436773}",25,14,-52.01249565176113,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
164,False,"{'a': 0.20677096422353639, 'e': 0.23261733475147817}",25,13,22.40452475171845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.20338723584099336, 'e': 0.22881064032111725}",25,8,-4.8834161420557205,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
166,False,"{'a': 0.20003887600184778, 'e': 0.22504373550207846}",20,12,4.106082432799207,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.19672596656086738, 'e': 0.22131671238097553}",20,4,24.68363260162602,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1934485774747965, 'e': 0.2176296496591458}",25,12,14.854956336560317,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.19020676697164823, 'e': 0.21398261284310402}",30,15,25.093702442811313,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.18700058172299988, 'e': 0.21037565443837464}",20,12,12.805258407695499,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.18383005701913882, 'e': 0.20680881414653093}",25,11,-27.08773172989971,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
