trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.32816342382398156, 'e': 0.369183851801979}",25,9,1.4917280055705775,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.32379536529738856, 'e': 0.36426978595956183}",25,5,-95.36778015493624,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
135,False,"{'a': 0.3194535013891125, 'e': 0.35938518906275124}",20,3,-2.3998540564896027,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.31513834335561247, 'e': 0.3545306362750637}",20,15,4.173124656464838,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.310850387615452, 'e': 0.34970668606738314}",30,12,-9.32682297776838,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
138,False,"{'a': 0.3065901157525129, 'e': 0.34491388022157665}",25,7,-28.811883472315138,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
139,False,"{'a': 0.30235799452653256, 'e': 0.34015274384234884}",20,0,-11.473106346904753,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.2981544758908576, 'e': 0.3354237853772145}",20,5,-47.56195209406133,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 0.2939799970173046, 'e': 0.33072749664446743}",25,0,-36.62850554416417,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.28983498032801586, 'e': 0.3260643528690176}",30,22,13.076062871503993,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.2857198335341927, 'e': 0.3214348127259665}",20,7,7.035999112730605,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.28163494968158814, 'e': 0.31683931839178636}",20,9,-10.686028649035382,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.2775807072026354, 'e': 0.3122782956029645}",20,10,-19.290697445258385,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.27355746997508806, 'e': 0.3077521537219738}",30,16,12.827788406059327,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.2695655873870432, 'e': 0.30326128581042333}",20,5,-33.50271881627351,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
148,False,"{'a': 0.2656053944082169, 'e': 0.29880606870924376}",25,16,-5.987278936358471,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.2616772116673393, 'e': 0.29438686312575646}",25,10,-7.027914600025624,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.25778134553553383, 'e': 0.29000401372747525}",20,0,-11.952762196713499,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
151,False,"{'a': 0.25391808821554274, 'e': 0.2856578492424853}",25,3,-26.199305267641662,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.25008771783665973, 'e': 0.2813486825662419}",30,8,11.817047548531633,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.24629049855522792, 'e': 0.2770768108746311}",25,14,17.882778820335172,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.24252668066056, 'e': 0.2728425157431297}",20,14,13.220993765214175,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.23879650068613562, 'e': 0.26864606327190227}",20,14,10.620800603539784,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.23510018152593004, 'e': 0.264487704216671}",20,7,11.267724609249614,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.23143793255572573, 'e': 0.26036767412519113}",25,1,-2.8421565685911574,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.22780994975925878, 'e': 0.2562861934791658}",30,0,-17.402133539638644,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
159,False,"{'a': 0.2242164158590497, 'e': 0.2522434678414306}",35,11,3.759786662282598,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.2206575004517679, 'e': 0.2482396880082386}",20,0,4.58494853949009,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
161,False,"{'a': 0.21713336014797843, 'e': 0.24427503016647545}",20,0,5.86312957007123,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.21364413871611818, 'e': 0.24034965605563266}",20,10,-9.218234096722952,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.21018996723054933, 'e': 0.23646371313436773}",30,24,10.168344070322611,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.20677096422353639, 'e': 0.23261733475147817}",30,8,27.503708282619574,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.20338723584099336, 'e': 0.22881064032111725}",20,9,8.966692894146178,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.20003887600184778, 'e': 0.22504373550207846}",25,19,3.599145795416715,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.19672596656086738, 'e': 0.22131671238097553}",25,12,15.513277846829265,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.1934485774747965, 'e': 0.2176296496591458}",25,12,21.605099031936778,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.19020676697164823, 'e': 0.21398261284310402}",25,16,3.319773891810261,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.18700058172299988, 'e': 0.21037565443837464}",25,7,36.760863492303265,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.18383005701913882, 'e': 0.20680881414653093}",25,10,13.8907620197614,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
